Genus	A07-1	A07-3	A07-4	A08-1	A08-2	A08-4	A29-1	A29-2	A29-3	B09-1	B09-2	B09-3	B18-2	B18-3	B18-4	B19-2	B19-3	B19-4	B33-1	B33-2	B33-3	B34-2	B34-3	B34-4	B37-1	B37-2	B37-3	B43-2	B43-3	B43-4	B56-1	B56-2	B56-4	C13-1	C13-3	C13-4	E11-1	E11-3	E11-4	E41-1	E41-2	E41-3	G01-1	G01-2	G01-3	G17-1	G17-2	G17-3	G23-2	G23-3	G23-4	G39-1	G39-3	G39-4	G48-1	G48-2	G48-4	L27-3	H28-1	H28-2	H28-4	H30-2	H30-3	H30-4	H44-1	H44-2	H44-4	L10-2	L10-3	L10-4	L27-1	L27-4	L55-1	L55-3	L55-4	M20-1	M20-2	M20-4	M22-2	M22-3	M22-4	M32-1	M32-2	M32-4	N02-2	N02-3	N02-4	N35-1	N35-3	N35-4	N51-1	N51-3	N51-4	O14-1	O14-2	O14-4	O21-1	O21-2	O21-4	O53-1	O53-2	O53-3	P40-1	P40-2	P40-4	R06-2	R06-3	R06-4	R12-1	R12-2	R12-4	R15-1	R15-2	R15-3	R16-1	R16-2	R16-4	R36-1	R36-2	R36-4	R49-1	R49-2	R49-3	R54-2	R54-3	R54-4	S03-1	S03-3	S03-4	S05-1	S05-2	S05-3	S42-2	S42-3	S42-4	S47-1	S47-3	S47-4	S50-2	S50-3	S50-4	S57-1	S57-2	S57-3	S58-2	S58-3	S58-4	S60-1	S60-2	S60-4	S61-1	S61-2	S61-3	T04-2	T04-3	T04-4	T62-2	T62-3	T62-4	V26-2	V26-3	V26-4	V45-1	V45-2	V45-3	W25-1	W25-2	W25-3	W31-1	W31-3	W31-4	W46-2	W46-3	W46-4	W59-1	W59-3	W59-4	Z24-1	Z24-2	Z24-4	Z52-1	Z52-2	Z52-4
Allogamus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Melampophylax	0	0	0	0	346	0	0	0	0	0	0	0	0	0	0	15	26	65	1	10	25	0	8	0	4	128	10	0	0	0	84	77	22	207	164	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	37	1	0	0	98	2	0	0	1	0	0	2	3	0	0	0	0	0	0	0	0	11	62	2	0	0	0	0	5	0	0	0	0	0	0	0	11	0	13	5	1	29	1	6	0	0	0	23	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	2	0	1	0	0	0	0	0	0	0	0	0	2	10	0	0	0	29	0	10	1	103	7	22	19	1	0	0	0	35	145	11	10	20	2	2	0	1	0	0	0	0	0	0	2	73	1	0	0	0	0	0	0	90	2	0	0	0	0	0	5	0
Annitella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	36	0	0	0	0	0	0	0	0	0	0	2	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	11	0	0	0	0	0	0	0	0	0	0
Chaetopteryx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halesus	0	0	0	0	0	0	0	0	0	1	2	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Pseudopsilopteryx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Drusus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	16	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Limnephilus	0	0	0	0	0	0	0	0	0	0	0	0	125	2017	2014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3466	949	986	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	12	0	55	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	13	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Ecdyonurus	0	8	0	0	0	0	1	0	17	0	1	24	0	0	0	0	2	0	3	20	6	0	0	0	9	33	0	0	0	0	11	13	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	17	5	35	0	18	38	46	25	0	31	4	2	0	0	0	11	0	0	28	0	1	0	0	0	0	3	2	0	0	0	0	0	0	164	25	2	129	3	10	1	0	0	3	17	0	5	4	92	15	2	13	0	0	0	0	1	3	0	0	0	0	0	0	1	32	14	160	123	2	3	1	0	6	3	8	0	0	5	0	14	0	5	5	0	52	36	65	39	55	2	3	5	45	76	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	1	0	13	9	1	5	2	2	4	1	48	0	1	0	46	0	19	0	381
Ephemerella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Takobia	0	0	0	0	0	0	1	0	2	876	143	290	0	0	0	16	1	0	1	1	8	2	15	8	0	10	1	3	18	1	0	70	0	0	69	16	0	0	0	0	3086	5	0	0	0	0	0	5	0	0	0	1	0	4	32	1	6	0	3	2	0	7	1	15	14	0	9	0	4	0	4	6	0	0	0	2	0	0	0	0	2	1	90129	4317	0	0	0	3	0	0	0	1	1	1	0	1	13	12	6	0	69	11	0	0	1	0	1	0	0	7	0	0	0	0	0	0	0	1	2	0	14	79	2	0	0	0	0	0	0	0	0	0	0	0	1	3	91	2	0	1	0	2	58	44	0	0	0	9	0	0	225	111	138	0	2	15	1	1	0	0	7	5	1	0	0	0	3	14	3	1	1	0	0	0	28	48	1	0	0	0	5	4	11
Dinocras	0	0	0	0	0	0	0	5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	14	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	34	0	0	0	0	0	0	0	62	4	0	0	0	0	0	0	27	64	0	1	33	0	7	41	0	0	0	0	48	0	35	0	0	0	1	26	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	16	0	0	0	16	60	1	0	0	0	0	0	4	0	0	0
Paraleptophlebia	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lepidostoma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Athripsodes	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	34	293	0	0	0	0	0	0	0	0	64	149	444	0	0	0	0	0	0	638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	221	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	78	64	127	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crunoecia	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	19	0	0	0	5	38	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glossosoma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	14	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
